date,content,username
2021-03-06 04:51:05+00:00,一定の基準を満たした、更生の余地がない社会不適合者と、その親族には、当人を安楽死させる選択権が与えられるという法律が出来ればいいのにと、常々思う。,Gme1S9RgRiALqxk
2021-03-06 04:50:35+00:00,@elonmusk Get doge and $gme to hedge in this market! https://t.co/BBpwSgklEU,matrix2805
2021-03-06 04:49:48+00:00,"Daughter: I had a rough day.
Me: So sorry—anything I can do?
Daughter: Did you buy any more #GameStop stock today?
Me: Yep.
Daughter: Sweet.
#WeLikeTheStonk #GME 🚀🚀🚀",dormgod
2021-03-06 04:49:06+00:00,@nyambe_chan なでなで,77hhG4cghig9Gme
2021-03-06 04:49:00+00:00,@PelonGomis @kankel73 @PelonGomis https://t.co/SDaCoMLZWy,LuisGme45954509
2021-03-06 04:48:41+00:00,"$GME $AMC
💎👋👋💎 https://t.co/ojjMgz6z12",MoeMoney360
2021-03-06 04:48:00+00:00,@TheRoaringKitty Just added more. 140 shares. Holding GME feels a lot like holding Bitcoin 😌,OIfyouknew
2021-03-06 04:47:43+00:00,"@Mr_AMV - вы Сара Коннор?
- таки да",7EGmeSlZx7BGVAC
2021-03-06 04:47:36+00:00,"6E3A9A54 :参戦ID
参加者募集！
Lv100 ファナ＆エルド
https://t.co/CqyJYO4Qqp",gme_22
2021-03-06 04:47:36+00:00,"What's happening with retail investors taking on an entire hedge fund and banking system through Gamestop stock is another step in the restructuring of the global wealth redistribution - I.e. Bitcoin, higher wages, accountability in government and social programs etc. $gme $btc",realJedFranklin
2021-03-06 04:47:21+00:00,@Grafh How do you know he writes the rap rap shit? You ain’t know he didn’t write the other shit lol and you weren’t supposed to find out either but he can’t never be in that conversation with the other top MCs but it’s not like people don’t think he’s talented just look at the TL lol,mrfocusinc
2021-03-06 04:47:19+00:00,"173 #gamestop I like the stock. Hodl. Ride it. 

#stocks #GME",afflinked
2021-03-06 04:47:11+00:00,@nyambe_chan 伊勢海老食べる？,77hhG4cghig9Gme
2021-03-06 04:46:38+00:00,心の問題は治療法も確立されてないわけだし、本人にもどうしようもないと思うし。周りの迷惑もそうだが、何より本人が、あんな状態では生きてても何も楽しくないだろうし。,Gme1S9RgRiALqxk
2021-03-06 04:46:29+00:00,GMEが頑張ってるのってなんなんだろ https://t.co/ojtoPdX8fw,Kallibebe
2021-03-06 04:46:18+00:00,@elonmusk My tweet got removed instantly for being positive? Okay amc GME DOGE TO THE MOON 🖕🖕🖕🖕🖕,SRelerford
2021-03-06 04:46:09+00:00,"@SEC_News Whats going on with $GME, $AMC and potential naked shorting? As well as over short above stock % would this cause issues, like for example full market crash?",Mikeyyezzyy
2021-03-06 04:45:40+00:00,"@TheHoustonWade @JonathanBesler @RocksShantaram I considering selling amc for gme, but now I might hold my amc and hope for the best",Jshmur
2021-03-06 04:45:30+00:00,@elonmusk Now do GME 🙌💎,MikeMcM97392416
2021-03-06 04:44:54+00:00,@gme_mth トルコ風呂ライス💕,ponta3846
2021-03-06 04:44:09+00:00,@Un_papa_mao_mao @BertoGamer22 @Wario64 Good looks.,RyanSil84151538
2021-03-06 04:43:54+00:00,"idk/idc who this person is

all i know is i made a few hundo buying some $GME at $6 then selling at $100. Coulda made more if I held/slash bought more at start. Its all BS. Id be a rich af if i bought into bitcoin when i first heard about it (thought it was libertarian BS) https://t.co/YwKTty5Bhp",ImaMickyCat
2021-03-06 04:43:53+00:00,#Bitcoin #gme #wallstreetbets https://t.co/Ra9na5LWVg,ZERONETWORTH_
2021-03-06 04:43:42+00:00,@elonmusk You ever gonna help the GME and AMC boys? 🤨,Tyler46927837
2021-03-06 04:43:34+00:00,"$amc has a lower cost of revenue than $gme 

I am diving deep into the financials of this stock. 

I need $AMC's average number of consumers per week. And average customer spend per visit. 

Anyone tell me where I can find this?",AMAZONALLDAY
2021-03-06 04:42:40+00:00,"$GME 

https://t.co/GIqYeEpq8y",Nathanwlove1
2021-03-06 04:42:03+00:00,"@elonmusk Doge, AMC, GME 🚀🤑🦍💎 https://t.co/b94r4PZAPQ",KingMaciass
2021-03-06 04:40:22+00:00,"Another top tier gme meme
https://t.co/Yd1qKrKPsC",Mirkrin_
2021-03-06 04:40:05+00:00,余談だが、さっさと終わった方が世の為人の為、本人の為なんじゃないかと思う人が偶にいる。自分の抱える欠陥から目を背けるばかりで、社会と折り合いをつける努力を放棄したまま、世間の所為にしてばかりの人とか。,Gme1S9RgRiALqxk
2021-03-06 04:40:04+00:00,#GME Envy is real. Let the #butthurt flow! I care not for Hedge Funds! https://t.co/9TSV6yxDR7,haz_doge
2021-03-06 04:39:02+00:00,@Aruwba @ysmaratatiana11 how sexy she looks with pubic hair🤤🤤🤤🤤,RaulGme
2021-03-06 04:38:50+00:00,@GlodeJo07 si fakeminista ya pediste tu limosna https://t.co/T2OhjsUFMv,RamnGme06539229
2021-03-06 04:38:02+00:00,"@GlodeJo07 claroooo igualitos a ti, te debatimos y te haces que la virgen te habla fakeminista https://t.co/ximFP8Gw7t",RamnGme06539229
2021-03-06 04:38:00+00:00,Mandatory read. #GME $GME https://t.co/NBnounmojD,haz_doge
2021-03-06 04:37:46+00:00,$GME 🚀 https://t.co/T0onO8vZao,animegamezone
2021-03-06 04:37:46+00:00,"@verocab96160625 @mario_dico50 Usted al parecer ni escribir, y sí aunque le duela sí le ganó el debate a @DiegoFC quien hasta las barbas se mordía pidiendo tregua, le dijeron mafioso en su jeta al señor ""carretera del amor"", hay cosas mucho más importantes de que hablar pero es bueno no olvidar quien es quien.",JoelBecerraGme1
2021-03-06 04:37:39+00:00,"@Erickisback1 @ChapoyPati Una pinche loca me hace eso y si le parto su madr3, perras arguenderas.",LuisGme45954509
2021-03-06 04:37:35+00:00,"Green Day, Long $EYES, $VXX, $SLGG, Short Side....All Morning $LI, $GME, $NIO, $FCEl, $PLTR then flipped to Long on $PLTR.

#stockmarket #stocks #pennystocks #nasdaq #dowjones #buystocks #buylowsellhigh #shortstocks #premarketstocks #trading #daytrading #swingtrading https://t.co/YFfwfviIHr",RudolphAnthonyG
2021-03-06 04:37:24+00:00,"The $CPE Algo is still on a Buy closing Overbought above Resistance today. A modest pullback into the channel is expected Monday.
#wallstreetbets 
@wallstreetbets_
#bitcoin $BTCUSA 
$ARKK $ARKW $ARKF $ARKG $TSLA $GBTC $SQ $TDOC $ROKU $SPOT $API $PYPL $NFLX $TWTR $Z $ZM $DKNG $GME https://t.co/zuBROHTRbl",TheMrDev
2021-03-06 04:35:56+00:00,@GlodeJo07 puras PINCHES FAKEMINISTAS YA CHILE CON SUS PAYASADAS https://t.co/oeBLrMad75,RamnGme06539229
2021-03-06 04:35:15+00:00,I can't use this for 1 month lol someone squoze that squeeze so my ridiculous sell limits hit #gme $$$ already https://t.co/tYxCQaABUt,Partypartybros
